"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Gram stain"
99,"ADV 255.99, AIP 283.01","DSM 21505, CCUG 50930, CIP 108586, KCTC 15229",1,"Acidaminococcus intestini",negative
133383,SK-11,"DSM 100508, NBRC 111227",1,"Acidicapsa acidisoli",negative
142,KA1,"DSM 23886, LMG 25897, VKM B-2678",1,"Acidicapsa borealis",negative
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,"Acidicapsa dinghuensis",negative
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,"Acidicapsa ligni",negative
106,ICP,"DSM 10331, NBRC 103882",1,"Acidimicrobium ferrooxidans",positive
26,Lhet2,"DSM 2389, ATCC 33463",1,"Acidiphilium cryptum",negative
132354,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1,"Acidipila dinghuensis",negative
158421,JS278,"DSM 106790, VTT E-113202",1,"Acidipropionibacterium virtanenii",positive
82,TPB606,"DSM 21000, VKM B-2487",1,"Acidisoma sibiricum",negative
81,WM1,"DSM 19999, VKM B-2488",1,"Acidisoma tundrae",negative
67,HS-AP3,"DSM 16009, JCM 10600",1,"Acidisphaera rubrifaciens",negative
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,"Acidithiobacillus ferridurans",negative
132357,M20,"DSM 100412, JCM 30830",1,"Acidithiobacillus ferriphilus",negative
133033,PMMR2,"DSM 27394, LMG 28340",1,"Acidobacterium ailaaui",negative
133532,AL46,"NBRC 104303, DSM 108313, VTCC-D9-1",1,"Acidocella aluminiidurans",negative
158255,Ok2G,"DSM 104037, NBRC 112502",1,"Acidocella aquatica",negative
2903,R-24608,"DSM 19327, LMG 24103",1,"Acidovorax caeni",negative
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC-B-910010",1,"Acidovorax kalamii",negative
2905,N35,"DSM 23535, LMG 25767",1,"Acidovorax radicis",negative
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,"Acidovorax soli",negative
23868,"NF 1078","DSM 27981, CCUG 62584, LMG 26971",1,"Acidovorax wautersii",negative
8141,58a,"DSM 22901, CCM 7266, CCUG 51249, JCM 18990, NIPH 838, LUH 4759",1,"Acinetobacter beijerinckii",negative
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702",1,"Acinetobacter bereziniae",negative
130449,"SAP 284.1","DSM 29976, CECT 8128, LMG 26959, CCUG 68432, CIP 110548",1,"Acinetobacter boissieri",negative
133295,,"ANC 4603, CCM 8700, CCUG 69239, CNCTC 7549",1,"Acinetobacter celticus",negative
140537,,"CCM 8641, CIP 110478, CCUG 67966, CNCTC 7573, DSM 107593, NIPH 2036",1,"Acinetobacter colistiniresistens",negative
139534,,"CIP 110480, NIPH 3623, ANC 3623, CCUG 67960, CCM 8635",1,"Acinetobacter courvalinii",negative
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,"Acinetobacter defluvii",negative
133175,,"JVAP01, CECT 9134, LMG 29605",1,"Acinetobacter lactucae",negative
139490,,"CIP 110500, ANC 4105, CCUG 67961, CCM 8636",1,"Acinetobacter dispersus",negative
140912,114,"CCUG 65204, DSM 27228",1,"Acinetobacter equi",negative
8097,,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250, O1",1,"Acinetobacter guillouiae",negative
8142,1271,"DSM 22705, CCM 7267, CCUG 51248, NIPH 2150, RUH 422",1,"Acinetobacter gyllenbergii",negative
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702",1,"Acinetobacter indicus",negative
24224,11-0202,"DSM 29071, JCM 18512, KCTC 32033, CCUG 69703",1,"Acinetobacter kookii",negative
140631,"NRRL B-41902","CCUG 68785, NRRL B-41902",1,"Acinetobacter lactucae",negative
133403,BRTC-1,"ACCC 19936, JCM 31367",1,"Acinetobacter larvae",negative
139492,,"CIP 110444, NIPH 236, CCUG 67964, CCM 8639",1,"Acinetobacter modestus",negative
130450,"SAP 763.2","CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958",1,"Acinetobacter nectaris",negative
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,"Acinetobacter piscicola",negative
133162,,"ANC 4149, CCM 8637, CCUG 67962, CNCTC 7530",1,"Acinetobacter pragensis",negative
139427,,"CIP 110482, NIPH 809, CCUG 14818, CCUG 67965, CCM 8640",1,"Acinetobacter proteolyticus",negative
132918,BQ4-1,"DSM 105039, CFCC 10780, JCM 18011, CCUG 69709",1,"Acinetobacter puyangensis",negative
159774,WCHAc060041,"CCTCC AB 2018118, GDMCC 1.1383, KCTC 62575",1,"Acinetobacter sichuanensis",negative
8144,"RAG-1, Vaneechoutte ACI 403","KCTC 2702, BCRC 14357, DSM 23050, ATCC 31012, CCUG 45561, LMG 19082, LUH 3904, NIPH 1925",1,"Acinetobacter venetianus",negative
139493,,"CIP 110483, NIPH 2168, RUH 65, CCUG 67967, CCM 8642",1,"Acinetobacter vivianii",negative
159758,WCHA60,"CCTCC AB 2016204, GDMCC 1.1100, KCTC 52505",1,"Acinetobacter wuhouensis",negative
23319,PS33-18,"DSM 45867, BCC 46906, NBRC 108782",1,"Acrocarpospora phusangensis",positive
134305,JC2129,"KCTC 12704, JCM 14002",1,"Actibacter sediminis",negative
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,"Actibacterium pelagium",negative
141055,LS-811,"BCRC 80823, JCM 30681",1,"Actibacterium ureilyticum",negative
17014,,"DSM 45503, BCC 28622, NBRC 104354, NRRL B-24610, GMKU 931",1,"Actinoallomurus acaciae",positive
23336,2614A723,"DSM 45727, CCTCC AA 2012001, JCM 31201",1,"Actinoallomurus acanthiterrae",positive
17015,,"DSM 45651, BCC 31373, NBRC 105246, GMKU 370",1,"Actinoallomurus oryzae",positive
13193,RMV-1378,"DSM 44848, JCM 12472, MTCC 6194",1,"Actinoalloteichus spitiensis",positive
11691,F66,"DSM 26423, CCM 7846, CCUG 60324",1,"Actinobacillus anseriformium",negative
132079,FC3,"DSM 100580, CSUR P1982, FC1",1,"Actinobaculum massiliense",positive
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,"Actinobaculum suis",positive
7797,CS5-AC17,"DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660",1,"Actinocatenispora rupis",positive
7795,TT2-10,"DSM 44816, JCM 12343, PCU 235",1,"Actinocatenispora thailandica",positive
16914,N3-7,"DSM 45040, JCM 13278, NRRL B-24429",1,"Actinocorallia cavernae",positive
132532,3H-GS17,"DSM 100595, CGMCC 4.7282",1,"Actinocorallia lasiicapitis",positive
159707,A251,"CGMCC 4.7421, JCM 32178",1,"Actinocorallia populi",positive
132014,OB1,"DSM 45618, ATCC BAA 2771",1,"Actinocrinis puniceicyclus",positive
132668,MI503-A4,"DSM 45934, NBRC 109632",1,"Actinocrispum wychmicini",positive
140670,R434,"KEMB 9005-403, KACC 18904, JCM 31557",1,"Actinokineospora acnipugnans",positive
13511,03-9939,"DSM 45114, CCM 7461, KCTC 19294",1,"Actinokineospora alba",positive
13207,"ID 03-0561","DSM 45656, BTCC B554, NBRC 104211",1,"Actinokineospora baliensis",positive
24443,44EHW,"DSM 46700, BCC 53155, NBRC 108932",1,"Actinokineospora bangkokensis",positive
13209,"ID 03-0810","DSM 45657, BTCC B-558, NBRC 105526",1,"Actinokineospora cianjurensis",positive
13208,"ID 03-0784","DSM 45658, BTCC B555, NBRC 104212",1,"Actinokineospora cibodasensis",positive
13210,,"DSM 45613, JCM 17695, YIM 75948",1,"Actinokineospora soli",positive
132565,ACD12,"DSM 46745, CECT 8842",1,"Actinomadura adrarensis",negative
16995,,"DSM 45045, CCTCC AA 206005, CIP 109812, JCM 14906, NBRC 103884, YIM 45681",1,"Actinomadura alba",positive
16996,3-46-b(3),"DSM 45347, JCM 13933, MTCC 8057",1,"Actinomadura bangladeshensis",positive
158373,,"DSM 108647, NBRC 113074, TBRC 7225, GKU 128",1,"Actinomadura barringtoniae",positive
16997,3-45-a(11),"DSM 45346, JCM 13932, MTCC 8056",1,"Actinomadura chokoriensis",positive
159889,"BMP B8004","CGMCC 4.7432, KCTC 39998",1,"Actinomadura deserti",positive
16999,,"DSM 45200, CCTCC AA 208017, JCM 16896, YIM 61435",1,"Actinomadura flavalba",positive
17005,A8036,"DSM 45508, KCTC 19868",1,"Actinomadura geliboluensis",positive
16998,WCC-2265,"DSM 45195, BCC 72026, CCUG 56181, NBRC 105837, JCM 17316",1,"Actinomadura keratinilytica",positive
17002,DLS-45,"DSM 45252, KCTC 19558",1,"Actinomadura meridiana",positive
133428,BC44T-5,"FIRDI 002, BCRC 16873, LMG 24335",1,"Actinomadura miaoliensis",positive
140490,CYP1-1B,"JCM 16995, KCTC 39784, PCU 349, TISTR 2400",1,"Actinomadura montaniterrae",positive
16990,B60,"DSM 44846, JCM 13850, NRRL B-24319",1,"Actinomadura napierensis",positive
158374,SDA37,"DSM 108648, KCTC 39965, NBRC 112909, TISTR 2523",1,"Actinomadura rhizosphaerae",positive
16991,"HMC 1","DSM 44962, JCM 14907, NRRL B-24458",1,"Actinomadura rudentiformis",positive
17001,R-Ac121,"DSM 45225, KCTC 19488",1,"Actinomadura scrupuli",positive
133727,"YIM M 10931","CCTCC AA 2010009, DSM 45500",1,"Actinomadura sediminis",positive
24654,BK147,"DSM 46742, KACC 20919, NCIMB 14771, NRRL B-24852",1,"Actinomadura xylanilytica",positive
177,M1327/95/1,"DSM 15435, CCUG 37421, CIP 106647",1,"Actinomyces bowdenii",positive
175,M1192/98/1,"DSM 15415, CCUG 41709, CIP 106507",1,"Actinomyces catuli",positive
189,R18165,"DSM 19115, CCUG 48064, CIP 108337, R18165, KCTC 15232",1,"Actinomyces dentalis",positive
140372,pika_113,"DSM 104049, CGMCC 4.7372",1,"Actinomyces gaoshouyii",positive
159,2-606-032,"DSM 6844, ATCC 23860, CDC W838, CIP 105418, JCM 12963, VPI 12594",1,"Actinomyces gerencseriae",positive
186,,"DSM 15540, CCUG 27294, CIP 105737, CCM 4739",1,"Actinomyces graevenitzii",positive
140290,VUL4_1,"DSM 104050, CGMCC 4.7370",1,"Actinomyces liubingyangii",positive
192,"4401292, CSUR P18","DSM 23047, CCUG 53522, KCTC 15158, CSUR P18",1,"Actinomyces massiliensis",positive
187,,"KCTC 15234, DSM 17234, CCUG 46090, CIP 107639, Hall R5292",1,"Actinomyces oricola",positive
158436,VUL4_3,"DSM 103436, CGMCC 4.7369",1,"Actinomyces tangfeifanii",positive
193,7400942,"KCTC 15137, DSM 23838, CCUG 55928, CSUR P35",1,"Actinomyces timonensis",positive
178,,"DSM 15434, CCUG 38702, CIP 106421",1,"Actinomyces urogenitalis",positive
140287,VUL7,"DSM 103437, CGMCC 4.7366",1,"Actinomyces vulturis",positive
196,"2298, 2298/06","DSM 24894, CCM 7951, CCUG 61299, CIP 110333, LMG 26472",1,"Actinomyces weissii",positive
13499,,"DSM 45062, JCM 15998, NBRC 104400, YIM 0006, CCTCC AA 205017, TBRC 8064",1,"Actinomycetospora chiangmaiensis",positive
159747,"A-T 8314","TBRC 5722, NBRC 113235",1,"Actinomycetospora endophytica",positive
132566,MB20,"DSM 46746, CECT 8960",1,"Actinophytocola algeriensis",positive
24458,MN08-A0203,"DSM 46707, NBRC 105883, VTCC D9-23",1,"Actinophytocola burenkhanensis",positive
159716,"BMP B8152","KCTC 49002, CGMCC 4.7433",1,"Actinophytocola glycyrrhizae",positive
13512,,"DSM 45499, BCC 31372, NBRC 105245",1,"Actinophytocola oryzae",positive
133108,11-183,"KCTC 39690, MCCC 1K02062, DSM 109075",1,"Actinophytocola xanthii",positive
7847,A4029,"DSM 45518, KCTC 19984, NRRL B-24835",1,"Actinoplanes abujensis",positive
23114,Y16,"DSM 45850, CGMCC 4.6857, JCM 17700",1,"Actinoplanes atraurantiacus",positive
7841,GW8-1761,"CCUG 53409, DSM 45050, CIP 109316, JCM 15999",1,"Actinoplanes couchii",positive
140940,LDG1-22,"JCM 30485, TISTR 2343, PCU 344, DSM 111304",1,"Actinoplanes lichenis",negative
140744,,"NRRL B-65484, DSM 105064, ATCC 33076",1,"Actinoplanes ramoplaninifer",positive
158014,M4147,"DSM 100965",1,"Actinoplanes sediminis",positive
130440,"A-T 6646","DSM 46706, BCC 46194, NBRC 109076",1,"Actinoplanes siamensis",positive
7842,03-723,"DSM 45183, CCM 7526, KCTC 19460",1,"Actinoplanes sichuanensis",positive
133187,"A-T 5400","A-T 5400, BCC 42734, TBRC 5832, NBRC 109645, DSM 108650",1,"Actinoplanes subglobosus",positive
7844,"MN07-A0371, VTCC D9-10","DSM 45572, NBRC 105297",1,"Actinoplanes tereljensis",positive
7845,"MN07-A0368, VTCC D9-11","DSM 45573, NBRC 105298",1,"Actinoplanes toevensis",positive
7843,03-8772,"DSM 45184, CCM 7527, KCTC 19461",1,"Actinoplanes xinjiangensis",positive
11160,,"DSM 45243, CCTCC AA 208030, JCM 16897, YIM 48868",1,"Actinopolymorpha alba",positive
11161,"06-2230, I06-2230","DSM 45117, CCM 7466, KCTC 19293",1,"Actinopolymorpha cephalotaxi",positive
11159,,"DSM 18448, CCTCC AA 206004, JCM 16537, YIM 45725",1,"Actinopolymorpha rutila",positive
24729,,"DSM 46731, CCTCC AA 2012020, KCTC 19657, TRM 40139",1,"Actinopolyspora lacussalsi",positive
24730,H55,"DSM 45460, CCUG 62965",1,"Actinopolyspora mzabensis",positive
141087,HS05-03,"BCC 51286, NBRC 109078, DSM 108651",1,"Actinopolyspora salinaria",positive
132380,,"DSM 45410, CCTCC AA 209065, YIM 75728",1,"Actinorectispora indica",positive
158702,"KC 198","CCTCC AA 2015043, KCTC 39718",1,"Actinorectispora metalli",positive
140636,K12-0408,"NBRC 111897, TBRC 5327, DSM 108652",1,"Actinorhabdospora filicis",positive
17634,GE134766,"DSM 44926, NRRL B-24431",1,"Actinospica acidiphila",positive
17635,GE134769,"DSM 44927, JCM 14908, NRRL B-24432",1,"Actinospica robiniae",positive
13211,101,"DSM 43827, ATCC 29888, IAM 14280, IFO 14064, IMET 9740, IMRU 3971, JCM 3225, KCC A-0225, NBRC 14064",1,"Actinosynnema mirum",positive
133106,EBR-4-2,"KCTC 33604, JCM 30447",1,"Actinotalea caeni",positive
133962,CF5-4,"KCTC 29134, CCTCC AB 2012198",1,"Actinotalea ferrariae",positive
158625,THG-T121,"KACC 19191, CGMCC 4.7389",1,"Actinotalea solisilvae",positive
145,"B 5329","DSM 15541, CCUG 27420, CIP 105739, LMG 18293, CCM 4738",1,"Actinotignum schaalii",positive
159835,J103,"DSM 104434, MCCC 1K03288",1,"Acuticoccus kandeliae",negative
133587,6515J-31,"KACC 14117, NBRC 106133",1,"Adhaeribacter aerolatus",negative
133589,6424S-25,"KACC 14118, NBRC 106134",1,"Adhaeribacter aerophilus",negative
3764,MBRG1.5,"DSM 16391, NCIMB 14008",1,"Adhaeribacter aquaticus",negative
158784,17mud1-7,"KCTC 52873, NBRC 112824",1,"Adhaeribacter swui",negative
140958,HY02,"KCTC 52512, JCM 31652",1,"Adhaeribacter terrae",negative
133455,DNG6,"CGMCC 1.6961, NBRC 104235",1,"Adhaeribacter terreus",negative
22982,NR06,"DSM 22242, CCUG 57646, KCTC 15365",1,"Adlercreutzia caecicola",positive
3077,B7,"DSM 21839, CCUG 56815",1,"Adlercreutzia caecimuris",positive
3073,FJC-B9,"DSM 19450, CCUG 54925, JCM 14793, KCTC 15235",1,"Adlercreutzia equolifaciens",positive
3072,do03,"DSM 18785, JCM 14811, AHU 1763",1,"Adlercreutzia equolifaciens subsp. celatus",positive
3076,Mt1B8,"DSM 19490, CCUG 54980",1,"Adlercreutzia mucosicola",positive
140913,,"ACCC 06485, JCM 30465, LAM 0050",1,"Advenella alkanexedens",negative
132905,M-07,"DSM 104993, JCM 17746, KCTC 23732",1,"Advenella faeciporci",negative
385,,"DSM 23814, CCUG 45225, LMG 22250, CIP 108657",1,"Advenella incenata",negative
383,WT001,"DSM 17095, LMG 22965, MTCC 7002",1,"Advenella kashmirensis",negative
384,DPN7,"DSM 17166, LMG 22922",1,"Advenella mimigardefordensis",negative
133599,JC2436,"IMSNU 14137, KACC 13727, KCTC 22361, JCM 15496",1,"Aequorivita aestuarii",negative
140229,D-24,"DSM 101732, KCTC 42708",1,"Aequorivita aquimaris",negative
5479,A71,"DSM 23843, JCM 15070, KCTC 22183",1,"Aequorivita capsosiphonis",negative
5477,9-3,"DSM 14238, ACAM 643, CIP 107454",1,"Aequorivita sublithincola",negative
24014,,"DSM 26349, 8-1b, CGMCC 1.11023, JCM 18497",1,"Aequorivita viscosa",negative
158560,N.8,"KCTC 33824, JCM 31580",1,"Aeribacillus composti",positive
1766,T6,"DSM 22365, LMG 21773, NCIMB 13939",1,"Aeriscardovia aeriphila",positive
226,UW06,"DSM 15819, CCM 4911, CCUG 28831, CIP 106115, JCM 18985",1,"Aerococcus christensenii",positive
224,SS-1647,"DSM 15633, CCUG 43001, CDC 348-00, CIP 106533, JCM 11549, ATCC BAA 465",1,"Aerococcus sanguinicola",positive
227,1821/02,"DSM 21500, CCUG 52530, CECT 7139, JCM 18035",1,"Aerococcus suis",positive
222,PUE,"CCUG 28094, CIP 103442, NCIMB 701636, DSM 20341, ATCC 29723, JCM 12519, NCDO 1636",1,"Aerococcus urinaeequi",positive
225,,"CCUG 42038 B, CCM 7338, DSM 15634, ATCC BAA 464, CCUG 42038b, CIP 106675, JCM 18987",1,"Aerococcus urinaehominis",positive
11058,KSL-107,"DSM 16824, CIP 108938, JCM 13518, KCTC 19073",1,"Aeromicrobium alkaliterrae",positive
133328,,"9H-4, ZIM B1021, LMG 29165, CCM 8650",1,"Aeromicrobium choanae",positive
11064,TYLN1,"DSM 19355, CCTCC AB 206046, JCM 16538",1,"Aeromicrobium flavum",positive
11062,,"DSM 22238, JCM 14732, KCTC 19207, GBS 39, Gsoil 098",1,"Aeromicrobium ginsengisoli",positive
11066,,"DSM 24822, JCM 15749, KCCM 90079, KME 001",1,"Aeromicrobium halocynthiae",positive
11061,,"DSM 17939, CCUG 52476, KCTC 19131, Gsoil 161",1,"Aeromicrobium panaciterrae",positive
11065,HSW-1,"DSM 19178, KACC 20565",1,"Aeromicrobium ponti",positive
11063,,"DSM 19087, JCM 13811, NRRL B-24466",1,"Aeromicrobium tamlense",positive
23547,266,"DSM 27583, CECT 8023, LMG 26707",1,"Aeromonas australiensis",negative
280,868E,"DSM 19111, CECT 7113, LMG 23376",1,"Aeromonas bivalvium",negative
272,A55,"DSM 18362, CECT 7289, LMG 24688, MDC 47",0,"Aeromonas dhakensis",negative
258,S181,"DSM 11577, CECT 4342, LMG 16330",1,"Aeromonas encheleia",negative
283,717,"DSM 23621, CECT 7401, LMG 24681",1,"Aeromonas fluvialis",negative
242,,"CCUG 14453, CCM 3653, JCM 2385, LMG 9073, DSM 4881, ATCC 33907",1,"Aeromonas media",negative
262,848T,"DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676",1,"Aeromonas molluscorum",negative
279,,"CCUG 39350, ATCC BAA 243, NCIMB 13618, DSM 19604, CCM 4708, CECT 5176, CIP 105493, LMG 17541",1,"Aeromonas popoffii",negative
288,WB4.1-19,"DSM 22539, CECT 7518, MDC 2511",1,"Aeromonas rivuli",negative
273,138,"DSM 21293, ATCC 49393, CCM 4103, CECT 5179, CIP 104757",1,"Aeromonas salmonicida subsp. smithia",negative
286,A2-67,"DSM 24094, CECT 7402, LMG 24682",1,"Aeromonas sanarellii",negative
261,,"DSM 16559, CCUG 47378, CIP 107798, IBS S6874",1,"Aeromonas simiae",negative
285,A2-50,"DSM 24096, CECT 7403, LMG 24683",1,"Aeromonas taiwanensis",negative
4196,SY1,"DSM 16960, ATCC BAA 758, JCM 12091",1,"Aeropyrum camini",negative
4195,K1,"DSM 11879, JCM 9820",1,"Aeropyrum pernix",negative
437,JC2043,"DSM 15266, KCTC 12043",1,"Aestuariibacter halophilus",negative
438,JC2042,"DSM 15300, KCTC 12042",1,"Aestuariibacter salexigens",negative
133791,,"KACC 16186, JCM 17789, SC 17",1,"Aestuariibaculum suncheonense",negative
158658,DBTF-13,"KACC 19432, NBRC 113038",1,"Aestuariibius insulae",negative
158589,NAP41,"KACC 18431, JCM 30739",1,"Aestuariicoccus marinus",negative
12671,R27,"DSM 21549, JCM 14204, KCTC 19182",1,"Aestuariimicrobium kwangyangense",positive
158420,D6,"DSM 105824, KCTC 39995",1,"Aestuariimicrobium soli",positive
158355,OITF-44,"DSM 105891, KACC 19569, KCTC 62197",1,"Aestuariimonas insulae",negative
131429,SBSr002,"DSM 24601, NCCB 100377",1,"Aetherobacter fasciculatus",negative
130794,SBSr003,"DSM 24628, NCCB 100378",1,"Aetherobacter rufus",negative
13876,AR2102,"DSM 17143, ATCC BAA 1145",1,"Afifella pfennigii",negative
1782,34632,"DSM 17499, CCUG 43108, CIP 106344",1,"Afipia birgiae",negative
1781,34633,"DSM 17498, CCUG 45153, CIP 107022",1,"Afipia massiliensis",negative
159752,2p52,"KCTC 52473, MCCC 1H00151",1,"Agaribacter flavus",negative
141009,feces2,"MCCC 1A11450, KCTC 52708",1,"Agaribacterium haliotis",negative
133571,CC-SBABM117,"BCRC 17964, CCM 7684, DSM 22517",1,"Agaricicola taiwanensis",negative
141010,17,"KCTC 42584, MCCC 1H00123",1,"Agarilytica rhodophyticola",negative
132992,hydD622,"DSM 105029, CGMCC 1.12692, KCTC 32543",1,"Agarivorans aestuarii",negative
133657,,"IAM 14998, LMG 21761, MKT 106",1,"Agarivorans albus",negative
22908,WH0801,"DSM 26780, CGMCC 1.10131, NRRL B-59247",1,"Agarivorans gilvus",negative
132395,"JK 623","DSM 29029, LMG 28559",1,"Agathobacter ruminis",negative
132618,SR79,"DSM 100391, KCTC 15532",1,"Agathobaculum butyriciproducens",positive
133155,,"ATCC 43058, CCUG 27818, JCM 6566",1,"Agathobaculum desmolans",positive
140485,,"LMG 29287, HAMBI 3646, YIC 5082",1,"Agrobacterium salinitolerans",negative
13647,Ch11,"DSM 26438, CFBP 7420, HAMBI 3460, LMG 26191",1,"Agrobacterium skierniewicense",negative
7256,"R-17892t 2","DSM 18061, CIP 109629, LMG 22410",1,"Agrococcus casei",positive
7258,SSW1-48,"DSM 22002, JCM 14256, KCTC 19198",1,"Agrococcus jejuensis",positive
7255,K22-21,"DSM 17612, MTCC 7154",1,"Agrococcus lahaulensis",positive
24181,DNG5,"DSM 28114, CGMCC 1.6960, JCM 17488, NBRC 104260",1,"Agrococcus terreus",positive
7257,"K 114/01","DSM 19812, LMG 24386, CCUG 58092",1,"Agrococcus versicolor",positive
7279,UMS-62,"DSM 21551, JCM 13584, KCTC 19181",1,"Agromyces allii",positive
7281,P27,"DSM 23870, JCM 15913, KCTC 19593",1,"Agromyces atrinae",positive
132611,AR33,"DSM 101731, LMG 29235",1,"Agromyces aureus",positive
7282,BZ41,"DSM 22275, CGMCC 1.8984",1,"Agromyces bauzanensis",positive
132534,"OAct-353, OAct353","DSM 28305, CGMCC 4.7180, NRRL B-59115",1,"Agromyces binzhouensis",positive
7275,"CD 5","DSM 16389, NBRC 109085, NCIMB 14012, HKI 0327",1,"Agromyces humatus",positive
141074,"CFH S0483","KCTC 39117, CCTCC AB 2014301",1,"Agromyces insulae",positive
7276,CD1,"DSM 16388, NCIMB 14011, HKI 0325",1,"Agromyces italicus",positive
7274,CD55,"DSM 16390, NCIMB 14013, HKI 0324",1,"Agromyces lapidis",positive
7272,23-23,"DSM 16197, CIP 108987, NBRC 109084, HKI 0321",1,"Agromyces neolithicus",positive
7273,"108989, 20-5","DSM 16198, HKI 0320",1,"Agromyces salentinus",positive
7277,Z33,"DSM 16689, NCIMB 14025, HKI 0340",1,"Agromyces subbeticus",positive
7280,DS-10,"DSM 22016, JCM 14581, KCTC 19216",1,"Agromyces terreus",positive
24182,,"DSM 27936, BCC 34764, CM9-9, JCM 15672",1,"Agromyces tropicus",positive
7270,XIL01,"DSM 15747, CIP 108592, LMG 21954, NBRC 109083",1,"Agromyces ulmi",positive
159867,D13,"KACC 19270, JCM 31634",1,"Ahniella affigens",negative
132966,LZD062,"DSM 28886, JCM 30117, MCCC 1K00254",1,"Ahrensia marina",negative
6086,,"DSM 19219, CCTCC AB 207002, KCTC 12885, YIM 90637",1,"Aidingimonas halophila",negative
132956,Pyt,"DSM 100705, CIP 110913",1,"Akkermansia glycaniphila",negative
13652,YBY-7,"DSM 24422, CGMCC 1.10789, LMG 26247, MCCC 1A06317",1,"Meinhardsimonia xiamenensis",negative
13844,DS2,"DSM 17890, KCTC 12586",1,"Albimonas donghaensis",negative
133988,P-50-3,"KACC 16527, CGMCC 1.11030",1,"Albimonas pacifica",negative
158774,S1-47,"KACC 18804, JCM 31536",1,"Albirhodobacter confluentis",negative
