"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Metabolite (antibiotic)","Antibiotic sensitivity","Antibiotic resistance"
286,A2-67,"DSM 24094, CECT 7402, LMG 24682",1,"Aeromonas sanarellii",amikacin,1,
,,,,,amoxicillin,,1
,,,,,aztreonam,1,
,,,,,cefepime,1,
,,,,,cefoperazone,1,
,,,,,cefotaxime,1,
,,,,,cefoxitin,,1
,,,,,ceftazidime,1,
,,,,,ceftriaxone,1,
,,,,,cephalothin,,1
261,,"DSM 16559, CCUG 47378, CIP 107798, IBS S6874",1,"Aeromonas simiae",ampicillin,,1
,,,,,cephalothin,1,
,,,,,vibriostat,,1
285,A2-50,"DSM 24096, CECT 7403, LMG 24683",1,"Aeromonas taiwanensis",amikacin,1,
,,,,,amoxicillin,,1
,,,,,aztreonam,1,
,,,,,cefepime,1,
,,,,,cefoperazone,1,
,,,,,cefotaxime,1,
,,,,,cefoxitin,1,
,,,,,ceftazidime,1,
,,,,,ceftriaxone,1,
,,,,,cephalothin,,1
158658,DBTF-13,"KACC 19432, NBRC 113038",1,"Aestuariibius insulae",ampicillin,,1
,,,,,carbenicillin,1,
,,,,,cephalothin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,,1
,,,,,neomycin,1,
,,,,,novobiocin,1,
,,,,,oleandomycin,,1
158420,D6,"DSM 105824, KCTC 39995",1,"Aestuariimicrobium soli",ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cephalothin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,0,
,,,,,kanamycin,0,
,,,,,lincomycin,0,
,,,,,neomycin,1,
,,,,,novobiocin,1,
,,,,,oleandomycin,1,
158355,OITF-44,"DSM 105891, KACC 19569, KCTC 62197",1,"Aestuariimonas insulae",carbenicillin,,1
,,,,,cephalothin,,1
,,,,,novobiocin,1,
,,,,,oleandomycin,1,
,,,,,"penicillin g",,1
,,,,,tetracycline,1,
131429,SBSr002,"DSM 24601, NCCB 100377",1,"Aetherobacter fasciculatus",ampicillin,,1
,,,,,apramycin,,1
,,,,,bacitracin,,1
,,,,,carbenicillin,1,
,,,,,cephalothin,,1
,,,,,fusidate,1,
,,,,,gentamicin,,1
,,,,,hygromycin,,1
,,,,,kanamycin,1,
,,,,,neomycin,,1
130794,SBSr003,"DSM 24628, NCCB 100378",1,"Aetherobacter rufus",ampicillin,,1
,,,,,apramycin,,1
,,,,,bacitracin,1,
,,,,,carbenicillin,1,
,,,,,cephalothin,1,
,,,,,fusidate,1,
,,,,,gentamicin,,1
,,,,,hygromycin,1,
,,,,,kanamycin,1,
,,,,,neomycin,1,
1782,34632,"DSM 17499, CCUG 43108, CIP 106344",1,"Afipia birgiae",amikacin,1,
,,,,,amoxicillin,1,
,,,,,cefalotin,1,
,,,,,cefepime,1,
,,,,,cefoxitin,1,
,,,,,ceftazidime,1,
,,,,,ceftriaxone,1,
,,,,,ciprofloxacin,1,
,,,,,"clavulanic acid",1,
,,,,,co-trimoxazole,1,
1781,34633,"DSM 17498, CCUG 45153, CIP 107022",1,"Afipia massiliensis",amikacin,1,
,,,,,amoxicillin,1,
,,,,,cefalotin,1,
,,,,,cefepime,1,
,,,,,cefoxitin,1,
,,,,,ceftazidime,1,
,,,,,ceftriaxone,1,
,,,,,ciprofloxacin,1,
,,,,,"clavulanic acid",1,
,,,,,co-trimoxazole,1,
159752,2p52,"KCTC 52473, MCCC 1H00151",1,"Agaribacter flavus","cefotaxime sodium",1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,,1
,,,,,"nalidixic acid",1,
,,,,,ofloxacin,1,
,,,,,rifampicin,1,
,,,,,tetracycline,,1
141010,17,"KCTC 42584, MCCC 1H00123",1,"Agarilytica rhodophyticola",acetylspiramycin,,1
,,,,,ampicillin,1,
,,,,,cefotaxime,1,
,,,,,ceftriaxone,1,
,,,,,chloramphenicol,1,
,,,,,clindamycin,,1
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,,1
132992,hydD622,"DSM 105029, CGMCC 1.12692, KCTC 32543",1,"Agarivorans aestuarii",ampicillin,1,
,,,,,carbenicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,"nalidixic acid",1,
,,,,,neomycin,1,
,,,,,novobiocin,1,
140485,,"LMG 29287, HAMBI 3646, YIC 5082",1,"Agrobacterium salinitolerans",ampicillin,,1
,,,,,ampicillin,1,
,,,,,chloramphenicol,,1
,,,,,chloramphenicol,1,
,,,,,erythromycin,,1
,,,,,kanamycin,,1
,,,,,kanamycin,1,
,,,,,neomycin,,1
,,,,,neomycin,1,
,,,,,streptomycin,,1
132611,AR33,"DSM 101731, LMG 29235",1,"Agromyces aureus",erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",,1
,,,,,neomycin,1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
394,B-5,"DSM 16502, CGMCC 1.3690",1,"Alcanivorax dieselolei",amikacin,1,
,,,,,kanamycin,1,
,,,,,neomycin,1,
,,,,,"polymyxin b",1,
5480,"M-3Alg 15-1","DSM 15365, KCTC 12103, KMM 3902",1,"Algibacter lectus",ampicillin,,1
,,,,,carbenicillin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,neomycin,,1
,,,,,oleandomycin,1,
,,,,,"penicillin g",,1
,,,,,"polymyxin b",,1
,,,,,streptomycin,,1
140706,KEM-10,"KCTC 52839, NBRC 112780",1,"Algoriphagus aquaemixtae",ampicillin,,1
,,,,,carbenicillin,,1
,,,,,cephalothin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,neomycin,,1
,,,,,novobiocin,1,
,,,,,oleandomycin,1,
140941,HJM-2,"KCTC 42704, NBRC 111222",1,"Algoriphagus confluentis",ampicillin,,1
,,,,,carbenicillin,1,
,,,,,cephalothin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,neomycin,,1
,,,,,novobiocin,1,
,,,,,oleandomycin,1,
133329,S61,"DSM 102044, CCTCC AB 2015446",1,"Algoriphagus iocasae",amikacin,0,
,,,,,ampicillin,0,
,,,,,carbenicillin,0,
,,,,,cefazolin,1,
,,,,,cefoperazone,1,
,,,,,ceftazidime,0,
,,,,,ceftriaxone,0,
,,,,,cefuroxime,0,
,,,,,cephalexin,0,
,,,,,cephradine,0,
133258,,"OITF-19, KCTC 52456, NBRC 112418",1,"Algoriphagus litorisediminis",ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefalotin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,neomycin,1,
,,,,,"penicillin g",0,
,,,,,"polymyxin b",1,
,,,,,streptomycin,1,
,,,,,tetracycline,0,
140525,am2,"KCTC 52549, MCCC 1H00178",1,"Algoriphagus marinus",acetylspiramycin,1,
,,,,,ampicillin,1,
,,,,,cefotaxime,,1
,,,,,ceftriaxone,,1
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,,1
,,,,,neomycin,,1
141011,KEM-106,"KCTC 52979, NBRC 112904",1,"Algoriphagus marisflavi",ampicillin,,1
,,,,,carbenicillin,1,
,,,,,cefalotin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,neomycin,,1
,,,,,novobiocin,1,
,,,,,oleandomycin,1,
140228,W29,"DSM 100160, KCTC 42940, MCC 2876",1,"Algoriphagus roseus",amikacin,1,
,,,,,ampicillin,,1
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,gentamicin,1,
,,,,,"nalidixic acid",1,
,,,,,oxytetracycline,1,
,,,,,"polymyxin b",1,
,,,,,rifampicin,1,
,,,,,tetracycline,1,
140844,GBPy7,"IBRC-M 10763, CECT 8339",1,"Aliidiomarina iranensis",amoxicillin,1,
,,,,,ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefoxitin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,neomycin,1,
140532,GBSy1,"CECT 8340, IBRC-M 10764",1,"Aliidiomarina sedimenti",amikacin,1,
,,,,,amoxicillin,1,
,,,,,ampicillin,,1
,,,,,carbenicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,,1
,,,,,"nalidixic acid",1,
,,,,,nitrofurantoin,1,
133375,Y4G10-17,"CGMCC 1.15759, KCTC 52381",1,"Aliidiomarina soli",amoxicillin,1,
,,,,,ampicillin,1,
,,,,,bacitracin,1,
,,,,,carbenicillin,1,
,,,,,cephradine,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,1,
140832,2W32,"KCTC 42497, CICC 23869",1,"Aliifodinibius halophilus",acetylspiramycin,1,
,,,,,ampicillin,1,
,,,,,cefotaxime,1,
,,,,,ceftriaxone,1,
,,,,,chloramphenicol,1,
,,,,,clindamycin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
140954,KHM44,"KACC 19060, NBRC 112531",1,"Aliifodinibius salicampi",amikacin,,1
,,,,,amoxicillin,1,
,,,,,apramycin,,1
,,,,,bacitracin,1,
,,,,,capreomycin,1,
,,,,,chloramphenicol,,1
,,,,,cycloheximide,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,"gramicidin s",1,
140264,BZ-SZ-XJ29,"DSM 29191, CGMCC 1.12936, JCM 30193",1,"Alkalicoccus halolimnae",amoxicillin,1,
,,,,,ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefotaxime,1,
,,,,,cefoxitin,1,
,,,,,chloramphenicol,1,
,,,,,clarithromycin,1,
,,,,,clindamycin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
140294,X-07-02,"DSM 26418, VKM B-2746",1,"Alkaliphilus namsaraevii",ampicillin,1,
,,,,,bacitracin,1,
,,,,,cefotaxime,,1
,,,,,kanamycin,1,
,,,,,"penicillin g",1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,vancomycin,,1
141088,JC227,"KCTC 15343, NBRC 110105",1,"Alkalispirochaeta cellulosivorans",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,,1
,,,,,rifampicin,,1
,,,,,tetracycline,1,
132682,"SYSU YG23","DSM 101834, KCTC 42968",1,"Allofrancisella inopinata",cephalosporin,,1
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,doxycycline,1,
,,,,,gentamicin,1,
,,,,,levofloxacin,1,
,,,,,tetracycline,1,
132993,H94,"DSM 24882, CGMCC 1.10800, JCM 17555",1,"Allohahella marinimesophila",amikacin,,1
,,,,,ampicillin,1,
,,,,,cefoperazone,1,
,,,,,ceftazidime,1,
,,,,,ceftriaxone,1,
,,,,,cefuroxime,,1
,,,,,cephalosporin,1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,co-trimoxazole,1,
133062,,"DSM 42178, CGMCC 4.7247, YIM DR4008",1,"Allostreptomyces psammosilenae",amikacin,1,
,,,,,cefuroxime,1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,norfloxacin,,1
,,,,,novobiocin,1,
,,,,,optochin,,1
,,,,,oxacillin,,1
133228,,"100921-2, CFCC 14287, KCTC 42844",1,"Altererythrobacter aerius",amikacin,1,
,,,,,ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefalotin,1,
,,,,,cefazolin,1,
,,,,,cefoperazone,1,
,,,,,ceftriaxone,1,
,,,,,cephradine,1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
140729,JSSK-8,"KCTC 52763, NBRC 112764",1,"Altererythrobacter aquaemixtae",ampicillin,,1
,,,,,carbenicillin,1,
,,,,,cefalotin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,,1
,,,,,lincomycin,,1
,,,,,neomycin,,1
,,,,,novobiocin,1,
,,,,,oleandomycin,,1
133169,,"KEM-4, KCTC 52259, NBRC 112305",1,"Altererythrobacter confluentis",ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefalotin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,0,
,,,,,neomycin,1,
,,,,,novobiocin,1,
,,,,,oleandomycin,1,
158561,C9-11,"MCCC 1K03311, JCM 32056",1,"Altererythrobacter mangrovi",ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefazolin,1,
,,,,,cefoperazone,1,
,,,,,cephalexin,1,
,,,,,cephradine,1,
,,,,,chloramphenicol,1,
,,,,,clindamycin,,1
,,,,,colistin,,1
,,,,,doxycycline,1,
140815,WW3,"KCTC 42620, JCM 30975",1,"Altererythrobacter rigui",amikacin,1,
,,,,,ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,,1
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",,1
,,,,,penicillin,1,
,,,,,"polymyxin b",,1
,,,,,streptomycin,,1
133352,,"MN-1, KCTC 52135, MCCC 1K02066",1,"Altererythrobacter soli",ampicillin,1,
,,,,,erythromycin,,1
,,,,,penicillin,1,
140743,S36,"CGMCC 1.12804, NBRC 110413",1,"Altererythrobacter xixiisoli",amoxicillin,,1
,,,,,ampicillin,1,
,,,,,bacitracin,1,
,,,,,carbenicillin,,1
,,,,,cefotaxime,,1
,,,,,cefoxitin,,1
,,,,,chloramphenicol,,1
,,,,,erythromycin,1,
,,,,,kanamycin,,1
,,,,,"macrolide antibiotic",1,
140995,JDTF-113,"KCTC 52655, NBRC 112708",1,"Alteromonas aestuariivivens",ampicillin,,1
,,,,,carbenicillin,1,
,,,,,cefalotin,,1
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,,1
,,,,,neomycin,1,
,,,,,novobiocin,1,
,,,,,oleandomycin,1,
450,,"DSM 23844, CCUG 55340, LMG 24078",1,"Alteromonas genovensis",ampicillin,,1
,,,,,cefoxitin,,1
,,,,,erythromycin,1,
,,,,,gentamicin,1,
158616,S35,"KCTC 52449, CGMCC 1.16029",1,"Alteromonas oceani",amikacin,,1
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,erythromycin,,1
,,,,,furazolidone,,1
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,midecamycin,,1
,,,,,norfloxacin,1,
,,,,,ofloxacin,1,
140746,5.12,"LMG 29661, MCC 3250",1,"Alteromonas pelagimontana",amoxicillin,1,
,,,,,ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefotaxime,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,neomycin,1,
1407,Y1,"DSM 24783, CGMCC 1.5123, JCM 16149",1,"Amphibacillus jilinensis",amikacin,0,1
,,,,,amoxicillin,1,
,,,,,ampicillin,1,
,,,,,azithromycin,1,
,,,,,bacitracin,0,1
,,,,,carbenicillin,1,
,,,,,cefotaxime,1,
,,,,,cefoxitin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
159864,AU-G6,"CGMCC 4.7351, NBRC 112404",1,"Amycolatopsis antarctica",bacitracin,,1
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,,1
,,,,,erythromycin,1,
,,,,,kanamycin,,1
,,,,,lincomycin,,1
,,,,,norfloxacin,,1
,,,,,"penicillin g",1,
,,,,,rifampicin,,1
,,,,,streptomycin,,1
17679,277,"DSM 17241, CCUG 45055, CIP 107754, WAL 14565, JCM 15631",1,"Anaerotruncus colihominis",colistin,,1
,,,,,kanamycin,1,
,,,,,vancomycin,1,
158256,E130,"DSM 102029, LMG 29367",1,"Ancylobacter pratisalsi",ampicillin,1,
,,,,,erythromycin,,1
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"penicillin g",,1
,,,,,tetracycline,1,
157183,Osot,"CCUG 70237, JCM 32039, DSM 106440, VKM B-3145",1,"Ancylobacter sonchi",ampicillin,1,
,,,,,chloramphenicol,,1
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,,1
,,,,,"nalidixic acid",,1
,,,,,neomycin,,1
,,,,,novobiocin,1,
,,,,,oxacillin,,1
140874,wkB301,"NRRL B-65307, NCIMB 14986",1,"Apibacter adventoris",gentamicin,,1
,,,,,kanamycin,,1
140816,Ar-125,"CGMCC 1.15295, JCM 30876",1,"Aquaticitalea lipolytica",amoxicillin,1,
,,,,,ampicillin,1,
,,,,,ceftriaxone,1,
,,,,,cephalexin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,minocycline,,1
,,,,,neomycin,,1
140504,RZW4-3-2,"JCM 30824, MCCC 1K00698",1,"Aquimarina aggregata",amikacin,,1
,,,,,ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefazolin,1,
,,,,,cefoperazone,1,
,,,,,ceftazidime,,1
,,,,,cephalexin,1,
,,,,,cephradine,1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
158636,"9Alg 151","KCTC 23622, KMM 6462",1,"Aquimarina algiphila",ampicillin,,1
,,,,,carbenicillin,1,
,,,,,cefazolin,,1
,,,,,cephalexin,1,
,,,,,chloramphenicol,1,
,,,,,cloxacillin,,1
,,,,,doxycycline,,1
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
158803,NS08,"KCTC 52897, MCCC 1H00191",1,"Aquimarina celericrescens",ampicillin,1,
,,,,,"cefotaxime sodium",,1
,,,,,chloramphenicol,1,
,,,,,clarithromycin,,1
,,,,,clindamycin,,1
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,penicillin,1,
,,,,,streptomycin,,1
140593,SS2-9,"KCTC 52274, MCCC 1H00142",1,"Aquimarina rubra",acetylspiramycin,1,
,,,,,ampicillin,1,
,,,,,cefotaxime,1,
,,,,,ceftriaxone,1,
,,,,,chloramphenicol,1,
,,,,,clindamycin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
140856,D11M-2,"CGMCC 1.12921, KCTC 42673",1,"Aquisalinus flavus",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,clarithromycin,1,
,,,,,clindamycin,,1
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,1,
,,,,,norfloxacin,1,
,,,,,streptomycin,1,
,,,,,sulfamethoxazole,1,
140914,P1297,"CCM 7557, LMG 28989, CCUG 67440",1,"Aquitalea pelogenes",vibriostat,,1
18158,"Ar 9903",,0,"Archangium sp.",ampicillin,,1
,,,,,cycloheximide,,1
,,,,,kanamycin,,1
18159,"Ar 9964",,0,"Archangium sp.",kanamycin,,1
18160,"Ar 10765",,0,"Archangium sp.",ampicillin,,1
,,,,,kanamycin,,1
18280,"Ar 10981",,0,"Archangium sp.",kanamycin,,1
18296,"Ar VO106",,0,"Archangium sp.",kanamycin,,1
18436,"Ar 8573",,0,"Archangium sp.",kanamycin,,1
18493,"Ar 8449",,0,"Archangium sp.",kanamycin,,1
18512,"Ar 9961",,0,"Archangium sp.",ampicillin,,1
,,,,,kanamycin,,1
18538,"Ar 4261",,0,"Archangium sp.",kanamycin,,1
18559,"Ar 4258",,0,"Archangium sp.",cycloheximide,,1
,,,,,kanamycin,,1
18684,"Ar 10767",,0,"Archangium sp.",ampicillin,,1
,,,,,kanamycin,,1
18687,"Ar 8784",,0,"Archangium sp.",kanamycin,,1
18699,"Ar 10773",,0,"Archangium sp.",ampicillin,,1
,,,,,kanamycin,,1
18715,"Ar 8710",,0,"Archangium sp.",kanamycin,,1
