"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,Enzyme,"Enzyme activity"
140290,VUL4_1,"DSM 104050, CGMCC 4.7370",1,"Actinomyces liubingyangii",urease,-
187,,"KCTC 15234, DSM 17234, CCUG 46090, CIP 107639, Hall R5292",1,"Actinomyces oricola",urease,-
158436,VUL4_3,"DSM 103436, CGMCC 4.7369",1,"Actinomyces tangfeifanii",urease,-
178,,"DSM 15434, CCUG 38702, CIP 106421",1,"Actinomyces urogenitalis",urease,-
24458,MN08-A0203,"DSM 46707, NBRC 105883, VTCC D9-23",1,"Actinophytocola burenkhanensis",urease,+
133108,11-183,"KCTC 39690, MCCC 1K02062, DSM 109075",1,"Actinophytocola xanthii",urease,-
23114,Y16,"DSM 45850, CGMCC 4.6857, JCM 17700",1,"Actinoplanes atraurantiacus",urease,+
7842,03-723,"DSM 45183, CCM 7526, KCTC 19460",1,"Actinoplanes sichuanensis",urease,+
7844,"MN07-A0371, VTCC D9-10","DSM 45572, NBRC 105297",1,"Actinoplanes tereljensis",urease,+
7845,"MN07-A0368, VTCC D9-11","DSM 45573, NBRC 105298",1,"Actinoplanes toevensis",urease,+
7843,03-8772,"DSM 45184, CCM 7527, KCTC 19461",1,"Actinoplanes xinjiangensis",urease,+
11161,"06-2230, I06-2230","DSM 45117, CCM 7466, KCTC 19293",1,"Actinopolymorpha cephalotaxi",urease,+
141087,HS05-03,"BCC 51286, NBRC 109078, DSM 108651",1,"Actinopolyspora salinaria",urease,+/-
158702,"KC 198","CCTCC AA 2015043, KCTC 39718",1,"Actinorectispora metalli",urease,+
140636,K12-0408,"NBRC 111897, TBRC 5327, DSM 108652",1,"Actinorhabdospora filicis",urease,-
133106,EBR-4-2,"KCTC 33604, JCM 30447",1,"Actinotalea caeni",urease,-
158625,THG-T121,"KACC 19191, CGMCC 4.7389",1,"Actinotalea solisilvae",urease,+
158784,17mud1-7,"KCTC 52873, NBRC 112824",1,"Adhaeribacter swui",urease,+
140958,HY02,"KCTC 52512, JCM 31652",1,"Adhaeribacter terrae",urease,-
133455,DNG6,"CGMCC 1.6961, NBRC 104235",1,"Adhaeribacter terreus",urease,+
140913,,"ACCC 06485, JCM 30465, LAM 0050",1,"Advenella alkanexedens",urease,-
383,WT001,"DSM 17095, LMG 22965, MTCC 7002",1,"Advenella kashmirensis",urease,+
24014,,"DSM 26349, 8-1b, CGMCC 1.11023, JCM 18497",1,"Aequorivita viscosa",urease,+
226,UW06,"DSM 15819, CCM 4911, CCUG 28831, CIP 106115, JCM 18985",1,"Aerococcus christensenii",urease,-
224,SS-1647,"DSM 15633, CCUG 43001, CDC 348-00, CIP 106533, JCM 11549, ATCC BAA 465",1,"Aerococcus sanguinicola",urease,-
223,E2,"DSM 7446, ATCC 51268, JCM 18986, NCFB 2893, NCTC 12142",1,"Aerococcus urinae",urease,-
225,,"CCUG 42038 B, CCM 7338, DSM 15634, ATCC BAA 464, CCUG 42038b, CIP 106675, JCM 18987",1,"Aerococcus urinaehominis",urease,-
221,M1,"DSM 20340, ATCC 11563, CCM 1914, IAM 13649, JCM 20461, NCDO 1225, NCTC 8251, WDCM 00061, CCUG 4311",1,"Aerococcus viridans",urease,-
133328,,"9H-4, ZIM B1021, LMG 29165, CCM 8650",1,"Aeromicrobium choanae",urease,-
11064,TYLN1,"DSM 19355, CCTCC AB 206046, JCM 16538",1,"Aeromicrobium flavum",urease,+
283,717,"DSM 23621, CECT 7401, LMG 24681",1,"Aeromonas fluvialis",urease,-
279,,"CCUG 39350, ATCC BAA 243, NCIMB 13618, DSM 19604, CCM 4708, CECT 5176, CIP 105493, LMG 17541",1,"Aeromonas popoffii",urease,-
437,JC2043,"DSM 15266, KCTC 12043",1,"Aestuariibacter halophilus",urease,-
438,JC2042,"DSM 15300, KCTC 12042",1,"Aestuariibacter salexigens",urease,-
133791,,"KACC 16186, JCM 17789, SC 17",1,"Aestuariibaculum suncheonense",urease,+
158420,D6,"DSM 105824, KCTC 39995",1,"Aestuariimicrobium soli",urease,-
1782,34632,"DSM 17499, CCUG 43108, CIP 106344",1,"Afipia birgiae",urease,+
1781,34633,"DSM 17498, CCUG 45153, CIP 107022",1,"Afipia massiliensis",urease,+
159752,2p52,"KCTC 52473, MCCC 1H00151",1,"Agaribacter flavus",urease,-
141009,feces2,"MCCC 1A11450, KCTC 52708",1,"Agaribacterium haliotis",urease,+/-
141010,17,"KCTC 42584, MCCC 1H00123",1,"Agarilytica rhodophyticola",urease,-
132395,"JK 623","DSM 29029, LMG 28559",1,"Agathobacter ruminis",urease,-
132534,"OAct-353, OAct353","DSM 28305, CGMCC 4.7180, NRRL B-59115",1,"Agromyces binzhouensis",urease,-
141074,"CFH S0483","KCTC 39117, CCTCC AB 2014301",1,"Agromyces insulae",urease,-
7273,"108989, 20-5","DSM 16198, HKI 0320",1,"Agromyces salentinus",urease,+
6086,,"DSM 19219, CCTCC AB 207002, KCTC 12885, YIM 90637",1,"Aidingimonas halophila",urease,+
132956,Pyt,"DSM 100705, CIP 110913",1,"Akkermansia glycaniphila",urease,-
13652,YBY-7,"DSM 24422, CGMCC 1.10789, LMG 26247, MCCC 1A06317",1,"Meinhardsimonia xiamenensis",urease,+
13844,DS2,"DSM 17890, KCTC 12586",1,"Albimonas donghaensis",urease,+
133384,AER10,"DSM 100498, AER 10, KCTC 42688",1,"Alcaligenes endophyticus",urease,-
159770,SW127,"CGMCC 1.16233, KCTC 62652",1,"Alcanivorax indicus",urease,-
158801,MT13131,"MCCC 1A11581, KCTC 52985",1,"Alcanivorax mobilis",urease,-
140512,19-m-6,"MCCC 1A05629, KCTC 52137",1,"Alcanivorax nanhaiticus",urease,-
11043,,"DSM 45001, KCTC 19149, YIM 45607",1,"Aldersonia kunmingensis",urease,+
133393,S2-A1,"KACC 18987, JCM 31546",1,"Algoriphagus aestuariicola",urease,-
133329,S61,"DSM 102044, CCTCC AB 2015446",1,"Algoriphagus iocasae",urease,-
140525,am2,"KCTC 52549, MCCC 1H00178",1,"Algoriphagus marinus",urease,+
140228,W29,"DSM 100160, KCTC 42940, MCC 2876",1,"Algoriphagus roseus",urease,-
133375,Y4G10-17,"CGMCC 1.15759, KCTC 52381",1,"Aliidiomarina soli",urease,+
24787,"YIM D15","DSM 21986, ACCC 10715, KCTC 23442",1,"Aliifodinibius roseus",urease,+
24788,"YIM J21","DSM 21194, ACCC 10714",1,"Aliifodinibius sediminis",urease,+
133419,E3,"CGMCC 1.7001, JCM 15139",1,"Aliiglaciecola lipolytica",urease,+
17254,"CMJ 11.1","DSM 23419, CECT 7228, LMG 23869",1,"Aliivibrio finisterrensis",urease,+
440,,"DSM 16032, ATCC BAA 284, CCUG 30811, CIP 106648",1,"Alishewanella fetalis",urease,-
22907,RCRI4,"DSM 27060, JCM 17275, KCTC 23723, LMG 26473",1,"Alishewanella tabrizica",urease,+
132683,"SYSU 10HL1970","DSM 101835, KCTC 42969",1,"Allofrancisella frigidaquae",urease,-
132684,08HL01032,"DSM 102975, ATCC BAA 2361, CCUG 60119, NCTC 13503",1,"Allofrancisella guangzhouensis",urease,-
132682,"SYSU YG23","DSM 101834, KCTC 42968",1,"Allofrancisella inopinata",urease,-
140855,MWE-A11,"JCM 19371, KCTC 29232",1,"Allohumibacter endophyticus",urease,-
11192,I10A-01259,"DSM 45601, CPCC 203428, KCTC 19844",1,"Allonocardiopsis opalescens",urease,+
134338,505,"LMG 24253, CGMCC 1.7048",1,"Allorhizobium oryzae",urease,+
133062,,"DSM 42178, CGMCC 4.7247, YIM DR4008",1,"Allostreptomyces psammosilenae",urease,-
159775,SH9,"JCM 32501, CCTCC AB 2017284",1,"Alsobacter soli",urease,+
133228,,"100921-2, CFCC 14287, KCTC 42844",1,"Altererythrobacter aerius",urease,-
140745,THG-S3,"KACC 19190, CGMCC 1.15959",1,"Altererythrobacter deserti",urease,+
158660,S-54,"KEMB 9005-542, KACC 19119, NBRC 112676",1,"Altererythrobacter fulvus",urease,-
140987,CPA5,"CECT 9130, LMG 29519",1,"Altererythrobacter halimionae",urease,-
450,,"DSM 23844, CCUG 55340, LMG 24078",1,"Alteromonas genovensis",urease,-
133345,,"JW12, CGMCC 1.15735, KCTC 52408, MCCC 1K03175",1,"Alteromonas lipolytica",urease,-
140746,5.12,"LMG 29661, MCC 3250",1,"Alteromonas pelagimontana",urease,+
17874,"YIM D10","DSM 21202, CCTCC AA 208035",1,"Amorphus orientalis",urease,+
24748,YC6899,"DSM 23349, KACC 14912, NBRC 107845",1,"Amorphus suaedae",urease,+
1406,Shu-P-Ggiii25-2,"DSM 21624, IAM 15428, JCM 23213, KCTC 13120, MBIC 08269, NBRC 103570",1,"Amphibacillus sediminis",urease,+
11296,M41,"DSM 18887, LMG 24143",1,"Amphritea atlantica",urease,+
133131,,"WP1, KCTC 39642, MCCC 1A10745",1,"Amycolatopsis albispora",urease,+
13516,RA45,"DSM 45648, CGMCC 4.5579, JCM 16584",1,"Amycolatopsis arida",urease,+
24444,BNT52,"DSM 45679, JCM 31029, KCTC 29065, NRRL B-24886",1,"Amycolatopsis cihanbeyliensis",urease,+
13252,"FH 1845","DSM 44594, JCM 12669, NRRL B-24209",1,"Amycolatopsis decaplanina",urease,+
13286,,"DSM 45426, CCTCC AA 2011016, JCM 18054, YIM 75904",0,"Amycolatopsis dongchuanensis",urease,+
13265,LC2,"DSM 45164, CCTCC AB 206019, CIP 109736, IAM 15387, JCM 21831",1,"Amycolatopsis echigonensis",urease,+
13261,N4-6,"DSM 45041, JCM 13279, NRRL B-24428",1,"Amycolatopsis halotolerans",urease,+
13262,N7-3,"DSM 45042, JCM 13280, NRRL B-24427",1,"Amycolatopsis jejuensis",urease,+
13227,KT2025,"DSM 45510, JCM 31204, KCTC 29056",1,"Amycolatopsis magusensis",urease,+
13259,"CSC 17TA-090","DSM 44992, CIP 109581, NRRL B-24473, HKI 0330",1,"Amycolatopsis nigrescens",urease,+
13266,LC11,"DSM 45165, CCTCC AB 206020, CIP 109735, IAM 15388, JCM 21832",1,"Amycolatopsis niigatensis",urease,+
13254,1BDZ,"DSM 44832, AS 4.1729, PCM 2600",1,"Amycolatopsis palatopharyngis",urease,+
13253,"SBHs Strp1","DSM 44776, CIP 108939, JCM 13852, NRRL B-24324",1,"Amycolatopsis plumensis",urease,+
158797,DH51B-4-3,"TBRC 6029, NBRC 112509",1,"Amycolatopsis rhizosphaerae",urease,+
13260,2406-001,"DSM 44993, JCM 14909, NRRL B-24474, HKI 0457",1,"Amycolatopsis saalfeldensis",urease,+
13273,,"DSM 45649, BCC 35842, NBRC 106095, TISTR 1919, RM 287",1,"Amycolatopsis samaneae",urease,+
140730,H-12,"KCTC 52581, CGMCC 1.15880",1,"Amylibacter cionae",urease,-
17407,NS05,"DSM 18746, CCM 7435, CCUG 57200, NEU 1212",1,"Ancylobacter oerskovii",urease,+
17403,Pla5,"DSM 2457, CIP 109301, NCIB 10516, CCUG 30553",1,"Ancylobacter polymorphus",urease,+
158256,E130,"DSM 102029, LMG 29367",1,"Ancylobacter pratisalsi",urease,-
157183,Osot,"CCUG 70237, JCM 32039, DSM 106440, VKM B-3145",1,"Ancylobacter sonchi",urease,+
17406,NP-300,"DSM 1277, CIP 109300",1,"Ancylobacter vacuolatus",urease,+
133003,FA102,"DSM 28825, CICC 10902, KCTC 42257",1,"Ancylomarina subtilis",urease,-
5416,MK-1,"DSM 1989, ATCC 43737",1,"Andreesenia angusta",urease,-
10500,GFC-1,"DSM 23236, BCRC 17832, LMG 24502",1,"Andreprevotia lacus",urease,+
133860,7402J-48,"KACC 15527, NBRC 108730",1,"Angustibacter aerolatus",urease,+
141003,YC2-20,"KCTC 39842, DSM 103769, JCM 32752",1,"Angustibacter speluncae",urease,-
130972,,"DSM 21100, KACC 14636, KCTC 22261, LMG 24494, Gsoil 524",1,"Anseongella ginsenosidimutans",urease,-
158772,JB01H24,"GDMCC 1.1229, KCTC 52984",1,"Antarcticibacterium flavum",urease,-
140874,wkB301,"NRRL B-65307, NCIMB 14986",1,"Apibacter adventoris",urease,-
132969,R-53146,"DSM 100903, LMG 28357",1,"Apibacter mensalis",urease,-
140816,Ar-125,"CGMCC 1.15295, JCM 30876",1,"Aquaticitalea lipolytica",urease,-
140593,SS2-9,"KCTC 52274, MCCC 1H00142",1,"Aquimarina rubra",urease,-
158701,122CH820-2,"KACC 19274, LMG 30078",1,"Aquimarina spongiicola",urease,-
133335,,"CBA3207, KACC 17666, JCM 19528",1,"Aquimarina versatilis",urease,-
140914,P1297,"CCM 7557, LMG 28989, CCUG 67440",1,"Aquitalea pelogenes",urease,-
133396,,"DSM 22792, JCM 30984, KCTC 22820, Gsoil 809",1,"Arachidicoccus ginsenosidivorans",urease,-
204,P6775,"DSM 25104, CCM 7958, CCUG 61573, CIP 110339",1,"Arcanobacterium canis",urease,-
197,11018,"DSM 20595, ATCC 9345, CCM 5947, NCTC 8452",1,"Arcanobacterium haemolyticum",urease,-
203,M401624/00/2,"DSM 15539, CCUG 44697, CIP 106850",1,"Arcanobacterium hippocoleae",urease,-
199,M1590/94/3,"DSM 10002, CCUG 38888, LMG 18722, CIP 105740",1,"Arcanobacterium phocae",urease,-
202,M430/94/2,"DSM 13483, CCUG 42575, CIP 106442",1,"Arcanobacterium pluranimalium",urease,-
140307,647,"DSM 102162, LMG 29418",1,"Arcanobacterium wilhelmae",urease,-
2096,KH-2,"DSM 17680, CCUG 48482, LMG 21996, CIP 108697, CECT 7203",1,"Arcobacter cibarius",urease,-
140702,MA5,"LMG 28652, JCM 31147",1,"Arcobacter lekithochrous",urease,+
140651,MN12-7,"KCTC 32015, CIP 110422",1,"Arcticibacter svalbardensis",urease,-
133367,,"SM1504, KCTC 42716, CCTCC AB 2015348",1,"Arcticibacterium luteifluviistationis",urease,+
158564,R18H21,"GDMCC 1.1159, KCTC 52924",1,"Arenibacter antarcticus",urease,-
158623,P308H10,"GDMCC 1.1230, KCTC 52983",1,"Arenibacter catalasegens",urease,-
5484,,"DSM 19833, CCUG 48006, JCM 13507, KCTC 12113, KMM 3941, CIP 108496",1,"Arenibacter certesii",urease,+
159746,z29,"JCM 32091, CCTCC AB 2017067",1,"Arenimonas caeni",urease,-
17445,TR7-09,"DSM 18010, CIP 109794, KCTC 12666",1,"Arenimonas composti",urease,+
17449,T7-07,"DSM 18060, KCTC 12667",1,"Arenimonas daejeonensis",urease,+
140971,Y3L17,"CGMCC 1.15905, KCTC 52420",1,"Arenimonas soli",urease,+
141004,HIs16-32,"NBRC 112289, TBRC 7038",1,"Arenivirga flava",urease,-
158565,A24_SHP_-5_238,"DSM 102177, CECT 9235",1,"Aridibacter nitratireducens",urease,-
133299,,"42-50, CCTCC AB 2014325, KCTC 42825",1,"Arsenicitalea aurantiaca",urease,+
7518,LC6,"DSM 23368, CCTCC AB 206013, IAM 15383, JCM 218275",1,"Arthrobacter alkaliphilus",urease,+
7603,R-5102,"DSM 16402, LMG 22283",1,"Arthrobacter castelli",urease,+
7630,D48,"DSM 24664, CGMCC 1.10783, CIP 110640",1,"Arthrobacter cupressi",urease,+
132518,"YIM CS25","DSM 29935, CGMCC 1.15091, KCTC 39544",1,"Arthrobacter deserti",urease,-
158722,MDB1-42,"CGMCC 1.9772, NBRC 113088",1,"Arthrobacter ruber",urease,-
158438,NEAU-SA1,"DSM 106716, CCTCC AB 2017271",1,"Arthrobacter silvisoli",urease,+
7612,"AC 836","DSM 16005, CCM 2783, CIP 108701",1,"Arthrobacter stackebrandtii",urease,+
133190,,"C-1-16, KEMB 900-374, KACC 18717, JCM 31293",1,"Arvibacter flaviflagrans",urease,-
158566,DRW22-8,"KCTC 42356, JCM 30469",1,"Asprobacter aquaticus",urease,-
2250,,"DSM 17538, CCUG 48253, CIP 108502",1,"Atopococcus tabaci",urease,+
140944,2A-8,"NBRC 111187, KCTC 42676",1,"Aurantiacicella marina",urease,-
141147,R14M6,"GDMCC 1.1202, KCTC 52919",1,"Aurantimonas aggregata",urease,+
526,WP1,"DSM 14790, CCUG 53900, CIP 107386",1,"Aurantimonas coralicida",urease,+
158798,BN130233,"CCTCC AB 2017051, KCTC 42642, DSM 103550",1,"Aurantisolimonas haloimpatiens",urease,-
532,S21B,"DSM 21988, CECT 7138, CIP 109525, KCTC 22106, LMG 23375",1,"Aureimonas altamirensis",urease,+
140972,2T4P-2-4,"KCTC 52217, CGMCC 1.15367",1,"Aureimonas endophytica",urease,-
139618,PP-WC-4G-234,"DSM 29985, CIP 110892, LMG 28655",1,"Aureimonas galii",urease,+
133355,B5-2,"CGMCC 1.15493, KCTC 52395",1,"Aureimonas glaciei",urease,+
158604,4M3-2,"CFCC 11187, KCTC 42087",1,"Aureimonas populi",urease,+
132997,PP-CE-2G-454,"DSM 102238, CCM 8665, LMG 29411",1,"Aureimonas pseudogalii",urease,+
140460,S31,"CCUG 69858, KCTC 33611, MCC 3027",1,"Auricoccus indicus",urease,-
11693,20186H4H1,"CIP 109717, DSM 18224, CCUG 52860",1,"Avibacterium endocarditidis",urease,+
134168,Slu-05,"CCUG 56488, DSM 17719, KCTC 12530, CCBAU 10199",1,"Azonexus caeni",urease,+
13889,d8-1,"DSM 23864, BCRC 17657, LMG 24005",1,"Azonexus hydrophilus",urease,+
24668,NS12,"DSM 18749, CCM 7897, NEU 1219",1,"Azorhizobium oxalatiphilum",urease,+
140877,CC-HIH038,"BCRC 80909, JCM 30827",1,"Azospirillum agricola",urease,+
140653,SgZ-5,"CCTCC AB 2012021, KACC 16605",1,"Azospirillum humicireducens",urease,+/-
134118,COC8,"IAM 15130, CCTCC AB 204051",1,"Azospirillum oryzae",urease,+
13999,,"DSM 19922, CCUG 55431, IMMIB TAR-3",1,"Azospirillum picis",urease,+
13998,"IMMIB AFH-6","DSM 19657, CCUG 53966",1,"Azospirillum rugosum",urease,+
134266,N7,"NCCB 100147, LMG 23989",1,"Azospirillum zeae",urease,+
158416,L28,"DSM 104296, MCCC 1K03287",1,"Peribacillus acanthi",urease,-
140963,N35-10-2,"MCCC 1A02146, KCTC 33710, LMG 28875",1,"Bacillus albus",urease,-
572,1,"DSM 485, ATCC 27647, JCM 5262, NCIB 10436, NCIB 8772, NCTC 4553, CCUG 28516, NRRL B-14309",1,"Alkalihalobacillus alcalophilus",urease,+
158725,AK73,"JCM 32184, MTCC 12637, KCTC 33880",1,"Bacillus alkalilacus",urease,+
1263,41KF2b,"DSM 21631, JCM 13350, MTCC 7306",1,"Bacillus altitudinis",urease,-
1225,TF-12,"DSM 16205, JCM 11545, KCCM 41589",1,"Bacillus aquimaris",urease,-
1290,B8W22,"DSM 21047, JCM 13839, MTCC 7755",1,"Bacillus megaterium",urease,+
140878,NH7l_1,"MCCC 1A05787, LMG 27697, KCTC 33532",1,"Bacillus australimaris",urease,-
599,"1, BAI","CCUG 28517, NRRL B-14310, DSM 1046, ATCC 29788, CCM 2849, CIP R925",1,"Calidifontibacillus azotoformans",urease,-
1214,"IDA 1115, R-16315","DSM 15601, CIP 108807, LMG 21833",1,"Neobacillus bataviensis",urease,-
158610,7578-1,"CGMCC 1.15374, KCTC 33845",1,"Bacillus camelliae",urease,-
133067,,"DSM 103394, CGMCC 1.12820, KCTC 33514, EGI 6500252",1,"Bacillus capparidis",urease,-
1281,PN5,"DSM 21993, JCM 15113, LMG 23935, MTCC 9127, CCUG 55698",1,"Solibacillus cecembensis",urease,+
158260,5L6,"DSM 104513, CICC 23855, KCTC 33663",1,"Bacillus ciccensis",urease,-
654,609,"DSM 1, CCM 2013, NCIB 9365, NCTC 10334, WDCM 00002, CCUG 7417, ATCC 7050, IAM 1115, NRS 609",1,"Bacillus coagulans",urease,-
132382,Ap-6,"DSM 101566, CCM 8651, CIP 110974",1,"Neobacillus cucumis",urease,-
1323,"391-98, NVH 391-98","DSM 22905, CIP 110041",1,"Bacillus cytotoxicus",urease,-
1208,mcha2343,"DSM 14890, CIP 108363, LMG 19507",1,"Alkalihalobacillus decolorationis",urease,-
1213,"IDA 1937, R-16337","DSM 15600, CIP 108808, LMG 21831",1,"Neobacillus drentensis",urease,-
1203,2DT,"DSM 13796",1,"Bacillus endophyticus",urease,-
158648,Bf-1,"JCM 31807, NCIMB 15079",1,"Bacillus fermenti",urease,+
1251,"Rcp Sm1","DSM 18237, LMG 17489, NCIMB 13771",1,"Neobacillus fumarioli",urease,-
1212,MB800,"DSM 15595, LMG 17892",1,"Bacillus galactosidilyticus",urease,+/-
,,,,,urease,-
132364,FJAT-4402,"DSM 29500, CGMCC 1.12902",1,"Bacillus gobiensis",urease,-
140408,S36,"DSM 104297, CGMCC 1.16030, KCTC 33864",1,"Bacillus iocasae",urease,-
158629,Ma50-5,"KCTC 33881, CCTCC AB 2017020",1,"Bacillus kexueae",urease,-
158731,AK74,"MTCC 12638, KCTC 33946, JCM 32185",1,"Bacillus lacus",urease,-
132573,FJAT-27997,"DSM 101776, CCTCC AB 2015285",1,"Peribacillus loiseleuriae",urease,+
1256,B1761,"DSM 18845, CIP 107105, JCM 12212, KCTC 3846, LMG 18422",1,"Bacillus luciferensis",urease,-
140965,TD41,"MCCC 1A00359, KCTC 33716, LMG 28872",1,"Bacillus luti",urease,-
140556,AK61,"JCM 31087, MTCC 12015, KCTC 33872",1,"Bacillus mangrovi",urease,-
158630,Ma50-6,"KCTC 33882, CCTCC AB 2017019",1,"Bacillus manusensis",urease,-
1224,TF-11,"DSM 16204, JCM 11544, KCCM 41588",1,"Bacillus marisflavi",urease,-
133059,KS16-9,"DSM 100413, KCTC 33834, MTCC 12305",1,"Mesobacillus maritimus",urease,+
140964,0711P9-1,"MCCC 1A05942, KCTC 33717, LMG 28877",1,"Bacillus mobilis",urease,-
23707,,"DSM 27953, CGMCC 1.10116, JCM 16507, NH3",1,"Alkalihalobacillus nanhaiisediminis",urease,+
1243,4T19,"DSM 17723, CIP 109816, KACC 11279",1,"Metabacillus niabensis",urease,+
140967,4049,"MCCC 1A00732, KCTC 33713, LMG 28871",1,"Bacillus nitratireducens",urease,-
140352,SYP-B691,"DSM 29196, JCM 30743",1,"Neobacillus notoginsengisoli",urease,+
1216,"IDA 3307, R-15439","DSM 15603, CIP 108805, LMG 21837",1,"Neobacillus novalis",urease,-
132616,1DS3-10,"DSM 29761, ACCC 19781",1,"Bacillus oryzisoli",urease,+
140961,EB422,"MCCC 1A06182, KCTC 33858",1,"Bacillus pacificus",urease,-
133957,RC2,"MTCC 9831, MCC 2100, KCTC 13724, CCM 7754",1,"Bacillus paraflexus",urease,+
140968,NH24A2,"MCCC 1A04098, KCTC 33709, LMG 28876",1,"Bacillus paramycoides",urease,-
140960,Mn5,"MCCC 1A00395, KCTC 33714, LMG 28873",1,"Bacillus paranthracis",urease,-
140966,TD42,"MCCC 1A00365, KCTC 33715, LMG 28870",1,"Bacillus proteolyticus",urease,-
1264,FO-36b,"DSM 19292, ATCC BAA 1126, LMG 26769, NBRC 100820",1,"Bacillus safensis",urease,-
159795,AK72,"MTCC 12636, KCTC 33981, JCM 32183",1,"Bacillus shivajii",urease,+
1217,"IDA 0086, R-16300","DSM 15604, CIP 108804, LMG 21838",1,"Neobacillus soli",urease,-
158259,NEAU-cbsb5,"DSM 100485, CGMCC 1.14993",1,"Bacillus solisilvae",urease,-
140573,RA9,"LMG 29736, CECT 9170",1,"Bacillus terrae",urease,-
140962,N24,"MCCC 1A01406, KCTC 33711, LMG 28874",1,"Bacillus tropicus",urease,-
1215,"IDA 3632, R-15447","DSM 15602, CIP 108806, LMG 21834",1,"Neobacillus vireti",urease,-
133012,"FSL W8-0169","DSM 102050, CIP 111364, LMG 29269",1,"Bacillus wiedmannii",urease,-
140354,FJAT-27215,"DSM 100757, CCTCC AB 2015266",1,"Bacillus wudalianchiensis",urease,+
140266,,"DSM 103964, CCM 8726, JJ-247, LMG 29876",1,"Mesobacillus zeae",urease,-
140879,DW5-4,"MCCC 1A08372, LMG 27144, KCTC 33531",1,"Bacillus zhangzhouensis",urease,+
133276,,"sw100, JCM 30597, MCCC 1K00501, KCTC 42424",1,"Bacterioplanoides pacificum",urease,-
140882,C13EG70,"LIPI12-4-Ck732, JSAT12-4-Ck732, InaCC B449, NBRC 110958",1,"Bacteroides caecicola",urease,-
140883,C13EG186,"LIPI12-4-Ck844, JSAT12-4-Ck884, InaCC B451, NBRC 110963",1,"Bacteroides gallinaceum",urease,-
1626,XB1A,"DSM 18836, CCUG 53782, JCM 15633",1,"Bacteroides xylanisolvens",urease,-
1634,,"DSM 21432, CCUG 45774, CIP 105477, IBS 382",1,"Bartonella alsatica",urease,-
140945,PEB0122,"NCIMB 14961, DSM 29779",1,"Bartonella apis",urease,+
